n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja
89,"(8.275,8.3]",8.275,8.3,0.025,ppt,0,0.007404214043218193
90,"(8.375,8.4]",8.375,8.4,0.025,ppt,0,0.007091663523198793
91,"(8.475,8.5]",8.475,8.5,0.025,ppt,0,0.0069299994611197934
92,"(8.575,8.6]",8.575,8.6,0.025,ppt,0,0.006714447378347793
93,"(8.675,8.7]",8.675,8.7,0.025,ppt,0,0.005302581236191195
94,"(8.7,8.725]",8.7,8.725,0.025,ppt,0,0.0011747588511073989
95,"(8.775,8.8]",8.775,8.8,0.025,ppt,0,0.0066174489411003935
96,"(8.875,8.9]",8.875,8.9,0.025,ppt,0,0.006994665085951393
97,"(8.975,9]",8.975,9,0.025,ppt,0,0.005841461443121194
98,"(9.075,9.1]",9.075,9.1,0.025,ppt,0,0.005475022902408795
99,"(9.175,9.2]",9.175,9.2,0.025,ppt,0,0.005087029153419195
100,"(9.275,9.3]",9.275,9.3,0.025,ppt,0,0.004720590612706795
101,"(9.375,9.4]",9.375,9.4,0.025,ppt,0,0.005033141132726195
102,"(9.475,9.5]",9.475,9.5,0.025,ppt,0,0.005302581236191195
103,"(9.575,9.6]",9.575,9.6,0.025,ppt,0,0.005097806757557795
104,"(9.675,9.7]",9.675,9.7,0.025,ppt,0,0.005011585924448995
105,"(9.775,9.8]",9.775,9.8,0.025,ppt,0,0.004903809883062995
106,"(9.875,9.9]",9.875,9.9,0.025,ppt,0,0.005065473945141995
107,"(9.975,10]",9.975,10,0.025,ppt,0,0.005528910923101794
108,"(10.075,10.1]",10.075,10.1,0.025,ppt,0,0.005367246861022795
109,"(10.175,10.2]",10.175,10.2,0.025,ppt,0,0.005345691652745595
110,"(10.275,10.3]",10.275,10.3,0.025,ppt,0,0.005151694778250795
111,"(10.375,10.4]",10.375,10.4,0.025,ppt,0,0.0056043541520719945
112,"(10.4,10.425]",10.4,10.425,0.025,ppt,0,2.155520827719998e-4
113,"(10.475,10.5]",10.475,10.5,0.025,ppt,0,0.0047313682168453955
114,"(10.5,10.525]",10.5,10.525,0.025,ppt,0,1.4010885380179986e-4
115,"(10.575,10.6]",10.575,10.6,0.025,ppt,0,0.004968475507894595
116,"(10.675,10.7]",10.675,10.7,0.025,ppt,0,0.005625909360349194
117,"(10.775,10.8]",10.775,10.8,0.025,ppt,0,0.004526593738211996
