n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja
1291,"(296.775,296.8]",296.775,296.8,0.025,ppt,1.5088645794039985e-4,0
1292,"(296.875,296.9]",296.875,296.9,0.025,ppt,1.2933124966319986e-4,0
1293,"(296.975,297]",296.975,297,0.025,ppt,9.69984372473999e-5,0
1294,"(297.075,297.1]",297.075,297.1,0.025,ppt,1.4010885380179986e-4,0
1295,"(297.175,297.2]",297.175,297.2,0.025,ppt,8.622083310879991e-5,0
1296,"(297.2,297.225]",297.2,297.225,0.025,ppt,6.466562483159993e-5,0
1297,"(297.275,297.3]",297.275,297.3,0.025,ppt,9.69984372473999e-5,0
1298,"(297.375,297.4]",297.375,297.4,0.025,ppt,1.2933124966319986e-4,0
1299,"(297.475,297.5]",297.475,297.5,0.025,ppt,1.5088645794039985e-4,0
1300,"(297.575,297.6]",297.575,297.6,0.025,ppt,9.69984372473999e-5,0
1301,"(297.675,297.7]",297.675,297.7,0.025,ppt,5.388802069299995e-5,0
1302,"(297.7,297.725]",297.7,297.725,0.025,ppt,2.1555208277199977e-5,0
1303,"(297.775,297.8]",297.775,297.8,0.025,ppt,1.077760413859999e-4,0
1304,"(297.875,297.9]",297.875,297.9,0.025,ppt,2.047744786333998e-4,0
1305,"(297.975,298]",297.975,298,0.025,ppt,1.4010885380179986e-4,0
1306,"(298.075,298.1]",298.075,298.1,0.025,ppt,1.1855364552459988e-4,0
1307,"(298.175,298.2]",298.175,298.2,0.025,ppt,1.1855364552459988e-4,0
1308,"(298.2,298.225]",298.2,298.225,0.025,ppt,4.3110416554399954e-5,0
1309,"(298.275,298.3]",298.275,298.3,0.025,ppt,6.466562483159993e-5,0
1310,"(298.375,298.4]",298.375,298.4,0.025,ppt,1.1855364552459988e-4,0
1311,"(298.475,298.5]",298.475,298.5,0.025,ppt,7.544322897019993e-5,0
1312,"(298.575,298.6]",298.575,298.6,0.025,ppt,1.7244166621759982e-4,0
1313,"(298.675,298.7]",298.675,298.7,0.025,ppt,1.1855364552459988e-4,0
1314,"(298.7,298.725]",298.7,298.725,0.025,ppt,7.544322897019993e-5,0
1315,"(298.775,298.8]",298.775,298.8,0.025,ppt,1.4010885380179986e-4,0
1316,"(298.875,298.9]",298.875,298.9,0.025,ppt,1.7244166621759982e-4,0
1317,"(298.975,299]",298.975,299,0.025,ppt,7.544322897019993e-5,0
1318,"(299.075,299.1]",299.075,299.1,0.025,ppt,1.1855364552459988e-4,0
1319,"(299.175,299.2]",299.175,299.2,0.025,ppt,8.622083310879991e-5,0
1320,"(299.2,299.225]",299.2,299.225,0.025,ppt,8.622083310879991e-5,0
1321,"(299.275,299.3]",299.275,299.3,0.025,ppt,1.6166406207899985e-4,0
1322,"(299.375,299.4]",299.375,299.4,0.025,ppt,1.939968744947998e-4,0
1323,"(299.475,299.5]",299.475,299.5,0.025,ppt,1.077760413859999e-4,0
1324,"(299.575,299.6]",299.575,299.6,0.025,ppt,2.2632968691059977e-4,0
1325,"(299.675,299.7]",299.675,299.7,0.025,ppt,4.3110416554399954e-5,0
1326,"(299.7,299.725]",299.7,299.725,0.025,ppt,5.388802069299995e-5,0
1327,"(299.775,299.8]",299.775,299.8,0.025,ppt,1.2933124966319986e-4,0
1328,"(299.875,299.9]",299.875,299.9,0.025,ppt,1.6166406207899985e-4,0
1329,"(299.975,300]",299.975,300,0.025,ppt,1.6166406207899985e-4,0
1330,"(300.075,300.1]",300.075,300.1,0.025,ppt,1.4010885380179986e-4,0
1331,"(300.175,300.2]",300.175,300.2,0.025,ppt,3.2332812415799966e-5,0
1332,"(300.2,300.225]",300.2,300.225,0.025,ppt,2.1555208277199977e-5,0
1333,"(300.275,300.3]",300.275,300.3,0.025,ppt,1.2933124966319986e-4,0
1334,"(300.375,300.4]",300.375,300.4,0.025,ppt,1.939968744947998e-4,0
1335,"(300.475,300.5]",300.475,300.5,0.025,ppt,1.1855364552459988e-4,0
1336,"(300.575,300.6]",300.575,300.6,0.025,ppt,8.622083310879991e-5,0
1337,"(300.675,300.7]",300.675,300.7,0.025,ppt,5.388802069299995e-5,0
1338,"(300.7,300.725]",300.7,300.725,0.025,ppt,2.1555208277199977e-5,0
1339,"(300.775,300.8]",300.775,300.8,0.025,ppt,1.5088645794039985e-4,0
1340,"(300.875,300.9]",300.875,300.9,0.025,ppt,6.466562483159993e-5,0
1341,"(300.975,301]",300.975,301,0.025,ppt,2.155520827719998e-4,0
1342,"(301.075,301.1]",301.075,301.1,0.025,ppt,1.6166406207899985e-4,0
1343,"(301.175,301.2]",301.175,301.2,0.025,ppt,6.466562483159993e-5,0
1344,"(301.2,301.225]",301.2,301.225,0.025,ppt,6.466562483159993e-5,0
1345,"(301.275,301.3]",301.275,301.3,0.025,ppt,7.544322897019993e-5,0
1346,"(301.375,301.4]",301.375,301.4,0.025,ppt,7.544322897019993e-5,0
1347,"(301.475,301.5]",301.475,301.5,0.025,ppt,1.832192703561998e-4,0
1348,"(301.575,301.6]",301.575,301.6,0.025,ppt,1.6166406207899985e-4,0
1349,"(301.675,301.7]",301.675,301.7,0.025,ppt,8.622083310879991e-5,0
1350,"(301.7,301.725]",301.7,301.725,0.025,ppt,8.622083310879991e-5,0
1351,"(301.775,301.8]",301.775,301.8,0.025,ppt,1.5088645794039985e-4,0
1352,"(301.875,301.9]",301.875,301.9,0.025,ppt,1.5088645794039985e-4,0
1353,"(301.975,302]",301.975,302,0.025,ppt,1.939968744947998e-4,0
1354,"(302.075,302.1]",302.075,302.1,0.025,ppt,8.622083310879991e-5,0
1355,"(302.175,302.2]",302.175,302.2,0.025,ppt,3.2332812415799966e-5,0
1356,"(302.2,302.225]",302.2,302.225,0.025,ppt,4.3110416554399954e-5,0
1357,"(302.275,302.3]",302.275,302.3,0.025,ppt,2.155520827719998e-4,0
1358,"(302.375,302.4]",302.375,302.4,0.025,ppt,1.4010885380179986e-4,0
1359,"(302.475,302.5]",302.475,302.5,0.025,ppt,1.5088645794039985e-4,0
1360,"(302.575,302.6]",302.575,302.6,0.025,ppt,1.832192703561998e-4,0
1361,"(302.675,302.7]",302.675,302.7,0.025,ppt,1.1855364552459988e-4,0
1362,"(302.7,302.725]",302.7,302.725,0.025,ppt,2.1555208277199977e-5,0
1363,"(302.775,302.8]",302.775,302.8,0.025,ppt,1.5088645794039985e-4,0
1364,"(302.875,302.9]",302.875,302.9,0.025,ppt,1.6166406207899985e-4,0
1365,"(302.975,303]",302.975,303,0.025,ppt,1.1855364552459988e-4,0
1366,"(303.075,303.1]",303.075,303.1,0.025,ppt,9.69984372473999e-5,0
1367,"(303.175,303.2]",303.175,303.2,0.025,ppt,1.1855364552459988e-4,0
1368,"(303.2,303.225]",303.2,303.225,0.025,ppt,4.3110416554399954e-5,0
1369,"(303.275,303.3]",303.275,303.3,0.025,ppt,1.6166406207899985e-4,0
1370,"(303.375,303.4]",303.375,303.4,0.025,ppt,1.6166406207899985e-4,0
1371,"(303.475,303.5]",303.475,303.5,0.025,ppt,1.832192703561998e-4,0
1372,"(303.575,303.6]",303.575,303.6,0.025,ppt,2.047744786333998e-4,0
1373,"(303.675,303.7]",303.675,303.7,0.025,ppt,1.1855364552459988e-4,0
1374,"(303.7,303.725]",303.7,303.725,0.025,ppt,5.388802069299995e-5,0
1375,"(303.775,303.8]",303.775,303.8,0.025,ppt,1.2933124966319986e-4,0
1376,"(303.875,303.9]",303.875,303.9,0.025,ppt,1.4010885380179986e-4,0
1377,"(303.975,304]",303.975,304,0.025,ppt,2.155520827719998e-4,0
1378,"(304.075,304.1]",304.075,304.1,0.025,ppt,1.7244166621759982e-4,0
1379,"(304.175,304.2]",304.175,304.2,0.025,ppt,8.622083310879991e-5,0
1380,"(304.2,304.225]",304.2,304.225,0.025,ppt,8.622083310879991e-5,0
1381,"(304.275,304.3]",304.275,304.3,0.025,ppt,9.69984372473999e-5,0
1382,"(304.375,304.4]",304.375,304.4,0.025,ppt,1.4010885380179986e-4,0
1383,"(304.475,304.5]",304.475,304.5,0.025,ppt,8.622083310879991e-5,0
1384,"(304.575,304.6]",304.575,304.6,0.025,ppt,6.466562483159993e-5,0
1385,"(304.675,304.7]",304.675,304.7,0.025,ppt,1.1855364552459988e-4,0
1386,"(304.7,304.725]",304.7,304.725,0.025,ppt,7.544322897019993e-5,0
1387,"(304.775,304.8]",304.775,304.8,0.025,ppt,9.69984372473999e-5,0
1388,"(304.875,304.9]",304.875,304.9,0.025,ppt,1.6166406207899985e-4,0
1389,"(304.975,305]",304.975,305,0.025,ppt,9.69984372473999e-5,0
1390,"(305.075,305.1]",305.075,305.1,0.025,ppt,1.077760413859999e-4,0
1391,"(305.175,305.2]",305.175,305.2,0.025,ppt,6.466562483159993e-5,0
1392,"(305.2,305.225]",305.2,305.225,0.025,ppt,2.1555208277199977e-5,0
1393,"(305.275,305.3]",305.275,305.3,0.025,ppt,1.077760413859999e-4,0
1394,"(305.375,305.4]",305.375,305.4,0.025,ppt,1.2933124966319986e-4,0
1395,"(305.475,305.5]",305.475,305.5,0.025,ppt,1.077760413859999e-4,0
1396,"(305.575,305.6]",305.575,305.6,0.025,ppt,1.6166406207899985e-4,0
1397,"(305.675,305.7]",305.675,305.7,0.025,ppt,3.2332812415799966e-5,0
1398,"(305.7,305.725]",305.7,305.725,0.025,ppt,5.388802069299995e-5,0
1399,"(305.775,305.8]",305.775,305.8,0.025,ppt,5.388802069299995e-5,0
1400,"(305.875,305.9]",305.875,305.9,0.025,ppt,1.2933124966319986e-4,0
1401,"(305.975,306]",305.975,306,0.025,ppt,1.939968744947998e-4,0
1402,"(306.075,306.1]",306.075,306.1,0.025,ppt,6.466562483159993e-5,0
1403,"(306.175,306.2]",306.175,306.2,0.025,ppt,6.466562483159993e-5,0
1404,"(306.275,306.3]",306.275,306.3,0.025,ppt,6.466562483159993e-5,0
1405,"(306.375,306.4]",306.375,306.4,0.025,ppt,8.622083310879991e-5,0
1406,"(306.475,306.5]",306.475,306.5,0.025,ppt,6.466562483159993e-5,0
1407,"(306.575,306.6]",306.575,306.6,0.025,ppt,1.1855364552459988e-4,0
1408,"(306.675,306.7]",306.675,306.7,0.025,ppt,1.2933124966319986e-4,0
1409,"(306.7,306.725]",306.7,306.725,0.025,ppt,2.1555208277199977e-5,0
1410,"(306.775,306.8]",306.775,306.8,0.025,ppt,1.6166406207899985e-4,0
1411,"(306.875,306.9]",306.875,306.9,0.025,ppt,9.69984372473999e-5,0
1412,"(306.975,307]",306.975,307,0.025,ppt,1.077760413859999e-4,0
1413,"(307.075,307.1]",307.075,307.1,0.025,ppt,1.1855364552459988e-4,0
1414,"(307.175,307.2]",307.175,307.2,0.025,ppt,1.2933124966319986e-4,0
1415,"(307.2,307.225]",307.2,307.225,0.025,ppt,4.3110416554399954e-5,0
1416,"(307.275,307.3]",307.275,307.3,0.025,ppt,1.4010885380179986e-4,0
1417,"(307.375,307.4]",307.375,307.4,0.025,ppt,1.4010885380179986e-4,0
1418,"(307.475,307.5]",307.475,307.5,0.025,ppt,1.1855364552459988e-4,0
1419,"(307.575,307.6]",307.575,307.6,0.025,ppt,1.2933124966319986e-4,0
1420,"(307.675,307.7]",307.675,307.7,0.025,ppt,7.544322897019993e-5,0
1421,"(307.7,307.725]",307.7,307.725,0.025,ppt,5.388802069299995e-5,0
1422,"(307.775,307.8]",307.775,307.8,0.025,ppt,1.2933124966319986e-4,0
1423,"(307.875,307.9]",307.875,307.9,0.025,ppt,1.2933124966319986e-4,0
1424,"(307.975,308]",307.975,308,0.025,ppt,8.622083310879991e-5,0
1425,"(308.075,308.1]",308.075,308.1,0.025,ppt,1.6166406207899985e-4,0
1426,"(308.175,308.2]",308.175,308.2,0.025,ppt,1.5088645794039985e-4,0
1427,"(308.275,308.3]",308.275,308.3,0.025,ppt,1.1855364552459988e-4,0
1428,"(308.375,308.4]",308.375,308.4,0.025,ppt,1.4010885380179986e-4,0
1429,"(308.475,308.5]",308.475,308.5,0.025,ppt,1.1855364552459988e-4,0
1430,"(308.575,308.6]",308.575,308.6,0.025,ppt,9.69984372473999e-5,0
1431,"(308.675,308.7]",308.675,308.7,0.025,ppt,1.2933124966319986e-4,0
1432,"(308.775,308.8]",308.775,308.8,0.025,ppt,1.7244166621759982e-4,0
1433,"(308.875,308.9]",308.875,308.9,0.025,ppt,1.077760413859999e-4,0
1434,"(308.975,309]",308.975,309,0.025,ppt,1.077760413859999e-4,0
1435,"(309.075,309.1]",309.075,309.1,0.025,ppt,1.6166406207899985e-4,0
1436,"(309.175,309.2]",309.175,309.2,0.025,ppt,8.622083310879991e-5,0
1437,"(309.275,309.3]",309.275,309.3,0.025,ppt,8.622083310879991e-5,0
1438,"(309.375,309.4]",309.375,309.4,0.025,ppt,9.69984372473999e-5,0
1439,"(309.475,309.5]",309.475,309.5,0.025,ppt,1.6166406207899985e-4,0
1440,"(309.575,309.6]",309.575,309.6,0.025,ppt,1.077760413859999e-4,0
1441,"(309.675,309.7]",309.675,309.7,0.025,ppt,9.69984372473999e-5,0
1442,"(309.775,309.8]",309.775,309.8,0.025,ppt,9.69984372473999e-5,0
1443,"(309.875,309.9]",309.875,309.9,0.025,ppt,1.077760413859999e-4,0
1444,"(309.975,310]",309.975,310,0.025,ppt,7.544322897019993e-5,0
1445,"(310.075,310.1]",310.075,310.1,0.025,ppt,1.077760413859999e-4,0
1446,"(310.175,310.2]",310.175,310.2,0.025,ppt,1.1855364552459988e-4,0
1447,"(310.275,310.3]",310.275,310.3,0.025,ppt,8.622083310879991e-5,0
1448,"(310.375,310.4]",310.375,310.4,0.025,ppt,6.466562483159993e-5,0
1449,"(310.475,310.5]",310.475,310.5,0.025,ppt,5.388802069299995e-5,0
1450,"(310.575,310.6]",310.575,310.6,0.025,ppt,2.155520827719998e-4,0
1451,"(310.675,310.7]",310.675,310.7,0.025,ppt,6.466562483159993e-5,0
1452,"(310.775,310.8]",310.775,310.8,0.025,ppt,1.5088645794039985e-4,0
1453,"(310.875,310.9]",310.875,310.9,0.025,ppt,8.622083310879991e-5,0
1454,"(310.975,311]",310.975,311,0.025,ppt,1.832192703561998e-4,0
1455,"(311.075,311.1]",311.075,311.1,0.025,ppt,1.5088645794039985e-4,0
1456,"(311.175,311.2]",311.175,311.2,0.025,ppt,7.544322897019993e-5,0
1457,"(311.275,311.3]",311.275,311.3,0.025,ppt,1.4010885380179986e-4,0
1458,"(311.375,311.4]",311.375,311.4,0.025,ppt,8.622083310879991e-5,0
1459,"(311.475,311.5]",311.475,311.5,0.025,ppt,7.544322897019993e-5,0
1460,"(311.575,311.6]",311.575,311.6,0.025,ppt,1.1855364552459988e-4,0
1461,"(311.675,311.7]",311.675,311.7,0.025,ppt,1.5088645794039985e-4,0
1462,"(311.775,311.8]",311.775,311.8,0.025,ppt,1.077760413859999e-4,0
1463,"(311.875,311.9]",311.875,311.9,0.025,ppt,8.622083310879991e-5,0
1464,"(311.975,312]",311.975,312,0.025,ppt,1.077760413859999e-4,0
1465,"(312.075,312.1]",312.075,312.1,0.025,ppt,1.5088645794039985e-4,0
1466,"(312.175,312.2]",312.175,312.2,0.025,ppt,1.1855364552459988e-4,0
1467,"(312.275,312.3]",312.275,312.3,0.025,ppt,1.939968744947998e-4,0
1468,"(312.375,312.4]",312.375,312.4,0.025,ppt,1.1855364552459988e-4,0
1469,"(312.475,312.5]",312.475,312.5,0.025,ppt,8.622083310879991e-5,0
1470,"(312.575,312.6]",312.575,312.6,0.025,ppt,1.2933124966319986e-4,0
1471,"(312.675,312.7]",312.675,312.7,0.025,ppt,1.077760413859999e-4,0
1472,"(312.775,312.8]",312.775,312.8,0.025,ppt,1.2933124966319986e-4,0
1473,"(312.875,312.9]",312.875,312.9,0.025,ppt,1.077760413859999e-4,0
1474,"(312.975,313]",312.975,313,0.025,ppt,6.466562483159993e-5,0
1475,"(313.075,313.1]",313.075,313.1,0.025,ppt,1.1855364552459988e-4,0
1476,"(313.175,313.2]",313.175,313.2,0.025,ppt,9.69984372473999e-5,0
1477,"(313.275,313.3]",313.275,313.3,0.025,ppt,9.69984372473999e-5,0
1478,"(313.375,313.4]",313.375,313.4,0.025,ppt,1.4010885380179986e-4,0
1479,"(313.475,313.5]",313.475,313.5,0.025,ppt,1.1855364552459988e-4,0
1480,"(313.575,313.6]",313.575,313.6,0.025,ppt,7.544322897019993e-5,0
1481,"(313.675,313.7]",313.675,313.7,0.025,ppt,1.1855364552459988e-4,0
1482,"(313.775,313.8]",313.775,313.8,0.025,ppt,9.69984372473999e-5,0
1483,"(313.875,313.9]",313.875,313.9,0.025,ppt,1.2933124966319986e-4,0
1484,"(313.975,314]",313.975,314,0.025,ppt,8.622083310879991e-5,0
1485,"(314.075,314.1]",314.075,314.1,0.025,ppt,1.1855364552459988e-4,0
1486,"(314.175,314.2]",314.175,314.2,0.025,ppt,1.7244166621759982e-4,0
1487,"(314.275,314.3]",314.275,314.3,0.025,ppt,1.939968744947998e-4,0
1488,"(314.375,314.4]",314.375,314.4,0.025,ppt,1.832192703561998e-4,0
1489,"(314.475,314.5]",314.475,314.5,0.025,ppt,1.1855364552459988e-4,0
1490,"(314.575,314.6]",314.575,314.6,0.025,ppt,1.1855364552459988e-4,0
1491,"(314.675,314.7]",314.675,314.7,0.025,ppt,1.1855364552459988e-4,0
1492,"(314.775,314.8]",314.775,314.8,0.025,ppt,1.6166406207899985e-4,0
1493,"(314.875,314.9]",314.875,314.9,0.025,ppt,1.2933124966319986e-4,0
1494,"(314.975,315]",314.975,315,0.025,ppt,1.077760413859999e-4,0
1495,"(315.075,315.1]",315.075,315.1,0.025,ppt,1.832192703561998e-4,0
1496,"(315.175,315.2]",315.175,315.2,0.025,ppt,1.077760413859999e-4,0
1497,"(315.275,315.3]",315.275,315.3,0.025,ppt,1.5088645794039985e-4,0
1498,"(315.375,315.4]",315.375,315.4,0.025,ppt,1.5088645794039985e-4,0
1499,"(315.475,315.5]",315.475,315.5,0.025,ppt,1.4010885380179986e-4,0
1500,"(315.575,315.6]",315.575,315.6,0.025,ppt,7.544322897019993e-5,0
1501,"(315.675,315.7]",315.675,315.7,0.025,ppt,1.4010885380179986e-4,0
1502,"(315.775,315.8]",315.775,315.8,0.025,ppt,1.939968744947998e-4,0
1503,"(315.875,315.9]",315.875,315.9,0.025,ppt,1.1855364552459988e-4,0
1504,"(315.975,316]",315.975,316,0.025,ppt,1.5088645794039985e-4,0
1505,"(316.075,316.1]",316.075,316.1,0.025,ppt,2.155520827719998e-4,0
1506,"(316.175,316.2]",316.175,316.2,0.025,ppt,1.7244166621759982e-4,0
1507,"(316.275,316.3]",316.275,316.3,0.025,ppt,1.2933124966319986e-4,0
1508,"(316.375,316.4]",316.375,316.4,0.025,ppt,8.622083310879991e-5,0
1509,"(316.475,316.5]",316.475,316.5,0.025,ppt,1.1855364552459988e-4,0
1510,"(316.575,316.6]",316.575,316.6,0.025,ppt,1.1855364552459988e-4,0
1511,"(316.675,316.7]",316.675,316.7,0.025,ppt,1.4010885380179986e-4,0
1512,"(316.775,316.8]",316.775,316.8,0.025,ppt,9.69984372473999e-5,0
1513,"(316.875,316.9]",316.875,316.9,0.025,ppt,1.077760413859999e-4,0
1514,"(316.975,317]",316.975,317,0.025,ppt,7.544322897019993e-5,0
1515,"(317.075,317.1]",317.075,317.1,0.025,ppt,1.6166406207899985e-4,0
1516,"(317.175,317.2]",317.175,317.2,0.025,ppt,1.1855364552459988e-4,0
1517,"(317.275,317.3]",317.275,317.3,0.025,ppt,1.077760413859999e-4,0
1518,"(317.375,317.4]",317.375,317.4,0.025,ppt,9.69984372473999e-5,0
1519,"(317.475,317.5]",317.475,317.5,0.025,ppt,1.2933124966319986e-4,0
1520,"(317.575,317.6]",317.575,317.6,0.025,ppt,1.1855364552459988e-4,0
1521,"(317.675,317.7]",317.675,317.7,0.025,ppt,2.047744786333998e-4,0
1522,"(317.775,317.8]",317.775,317.8,0.025,ppt,8.622083310879991e-5,0
1523,"(317.875,317.9]",317.875,317.9,0.025,ppt,1.1855364552459988e-4,0
1524,"(317.975,318]",317.975,318,0.025,ppt,1.077760413859999e-4,0
1525,"(318.075,318.1]",318.075,318.1,0.025,ppt,1.6166406207899985e-4,0
1526,"(318.175,318.2]",318.175,318.2,0.025,ppt,7.544322897019993e-5,0
1527,"(318.275,318.3]",318.275,318.3,0.025,ppt,1.5088645794039985e-4,0
1528,"(318.375,318.4]",318.375,318.4,0.025,ppt,1.2933124966319986e-4,0
1529,"(318.475,318.5]",318.475,318.5,0.025,ppt,1.4010885380179986e-4,0
1530,"(318.575,318.6]",318.575,318.6,0.025,ppt,1.077760413859999e-4,0
1531,"(318.675,318.7]",318.675,318.7,0.025,ppt,1.7244166621759982e-4,0
1532,"(318.775,318.8]",318.775,318.8,0.025,ppt,1.7244166621759982e-4,0
1533,"(318.875,318.9]",318.875,318.9,0.025,ppt,1.1855364552459988e-4,0
1534,"(318.975,319]",318.975,319,0.025,ppt,1.4010885380179986e-4,0
1535,"(319.075,319.1]",319.075,319.1,0.025,ppt,1.7244166621759982e-4,0
1536,"(319.175,319.2]",319.175,319.2,0.025,ppt,9.69984372473999e-5,0
1537,"(319.275,319.3]",319.275,319.3,0.025,ppt,1.2933124966319986e-4,0
1538,"(319.375,319.4]",319.375,319.4,0.025,ppt,1.1855364552459988e-4,0
1539,"(319.475,319.5]",319.475,319.5,0.025,ppt,7.544322897019993e-5,0
1540,"(319.575,319.6]",319.575,319.6,0.025,ppt,1.6166406207899985e-4,0
1541,"(319.675,319.7]",319.675,319.7,0.025,ppt,1.2933124966319986e-4,0
1542,"(319.775,319.8]",319.775,319.8,0.025,ppt,1.832192703561998e-4,0
1543,"(319.875,319.9]",319.875,319.9,0.025,ppt,1.4010885380179986e-4,0
1544,"(319.975,320]",319.975,320,0.025,ppt,9.69984372473999e-5,0
1545,"(320.075,320.1]",320.075,320.1,0.025,ppt,1.077760413859999e-4,0
1546,"(320.175,320.2]",320.175,320.2,0.025,ppt,1.1855364552459988e-4,0
1547,"(320.275,320.3]",320.275,320.3,0.025,ppt,1.6166406207899985e-4,0
1548,"(320.375,320.4]",320.375,320.4,0.025,ppt,1.077760413859999e-4,0
1549,"(320.475,320.5]",320.475,320.5,0.025,ppt,1.1855364552459988e-4,0
1550,"(320.575,320.6]",320.575,320.6,0.025,ppt,6.466562483159993e-5,0
1551,"(320.675,320.7]",320.675,320.7,0.025,ppt,6.466562483159993e-5,0
1552,"(320.775,320.8]",320.775,320.8,0.025,ppt,7.544322897019993e-5,0
1553,"(320.875,320.9]",320.875,320.9,0.025,ppt,1.7244166621759982e-4,0
1554,"(320.975,321]",320.975,321,0.025,ppt,1.2933124966319986e-4,0
1555,"(321.075,321.1]",321.075,321.1,0.025,ppt,1.1855364552459988e-4,0
1556,"(321.175,321.2]",321.175,321.2,0.025,ppt,1.4010885380179986e-4,0
1557,"(321.275,321.3]",321.275,321.3,0.025,ppt,9.69984372473999e-5,0
1558,"(321.375,321.4]",321.375,321.4,0.025,ppt,1.6166406207899985e-4,0
1559,"(321.475,321.5]",321.475,321.5,0.025,ppt,2.155520827719998e-4,0
1560,"(321.575,321.6]",321.575,321.6,0.025,ppt,1.832192703561998e-4,0
1561,"(321.675,321.7]",321.675,321.7,0.025,ppt,1.2933124966319986e-4,0
1562,"(321.775,321.8]",321.775,321.8,0.025,ppt,8.622083310879991e-5,0
1563,"(321.875,321.9]",321.875,321.9,0.025,ppt,1.1855364552459988e-4,0
1564,"(321.975,322]",321.975,322,0.025,ppt,7.544322897019993e-5,0
1565,"(322.075,322.1]",322.075,322.1,0.025,ppt,2.047744786333998e-4,0
1566,"(322.175,322.2]",322.175,322.2,0.025,ppt,1.2933124966319986e-4,0
1567,"(322.275,322.3]",322.275,322.3,0.025,ppt,1.5088645794039985e-4,0
1568,"(322.375,322.4]",322.375,322.4,0.025,ppt,1.1855364552459988e-4,0
1569,"(322.475,322.5]",322.475,322.5,0.025,ppt,6.466562483159993e-5,0
1570,"(322.575,322.6]",322.575,322.6,0.025,ppt,1.077760413859999e-4,0
1571,"(322.675,322.7]",322.675,322.7,0.025,ppt,1.2933124966319986e-4,0
1572,"(322.775,322.8]",322.775,322.8,0.025,ppt,7.544322897019993e-5,0
1573,"(322.875,322.9]",322.875,322.9,0.025,ppt,1.1855364552459988e-4,0
1574,"(322.975,323]",322.975,323,0.025,ppt,1.1855364552459988e-4,0
1575,"(323.075,323.1]",323.075,323.1,0.025,ppt,1.2933124966319986e-4,0
1576,"(323.175,323.2]",323.175,323.2,0.025,ppt,8.622083310879991e-5,0
1577,"(323.275,323.3]",323.275,323.3,0.025,ppt,1.6166406207899985e-4,0
1578,"(323.375,323.4]",323.375,323.4,0.025,ppt,9.69984372473999e-5,0
1579,"(323.475,323.5]",323.475,323.5,0.025,ppt,1.5088645794039985e-4,0
1580,"(323.575,323.6]",323.575,323.6,0.025,ppt,9.69984372473999e-5,0
1581,"(323.675,323.7]",323.675,323.7,0.025,ppt,1.4010885380179986e-4,0
1582,"(323.775,323.8]",323.775,323.8,0.025,ppt,1.7244166621759982e-4,0
1583,"(323.875,323.9]",323.875,323.9,0.025,ppt,7.544322897019993e-5,0
1584,"(323.975,324]",323.975,324,0.025,ppt,1.4010885380179986e-4,0
1585,"(324.075,324.1]",324.075,324.1,0.025,ppt,1.5088645794039985e-4,0
1586,"(324.175,324.2]",324.175,324.2,0.025,ppt,1.1855364552459988e-4,0
1587,"(324.275,324.3]",324.275,324.3,0.025,ppt,2.155520827719998e-4,0
1588,"(324.375,324.4]",324.375,324.4,0.025,ppt,1.939968744947998e-4,0
1589,"(324.475,324.5]",324.475,324.5,0.025,ppt,9.69984372473999e-5,0
1590,"(324.575,324.6]",324.575,324.6,0.025,ppt,8.622083310879991e-5,0
1591,"(324.675,324.7]",324.675,324.7,0.025,ppt,1.5088645794039985e-4,0
1592,"(324.775,324.8]",324.775,324.8,0.025,ppt,8.622083310879991e-5,0
1593,"(324.875,324.9]",324.875,324.9,0.025,ppt,1.4010885380179986e-4,0
1594,"(324.975,325]",324.975,325,0.025,ppt,1.2933124966319986e-4,0
1595,"(325.075,325.1]",325.075,325.1,0.025,ppt,8.622083310879991e-5,0
1596,"(325.175,325.2]",325.175,325.2,0.025,ppt,1.077760413859999e-4,0
1597,"(325.275,325.3]",325.275,325.3,0.025,ppt,1.832192703561998e-4,0
1598,"(325.375,325.4]",325.375,325.4,0.025,ppt,1.077760413859999e-4,0
1599,"(325.475,325.5]",325.475,325.5,0.025,ppt,2.047744786333998e-4,0
1600,"(325.5,325.525]",325.5,325.525,0.025,ppt,1.0777604138599989e-5,0
1601,"(325.575,325.6]",325.575,325.6,0.025,ppt,1.077760413859999e-4,0
1602,"(325.675,325.7]",325.675,325.7,0.025,ppt,7.544322897019993e-5,0
1603,"(325.775,325.8]",325.775,325.8,0.025,ppt,1.2933124966319986e-4,0
1604,"(325.875,325.9]",325.875,325.9,0.025,ppt,8.622083310879991e-5,0
1605,"(325.975,326]",325.975,326,0.025,ppt,1.1855364552459988e-4,0
1606,"(326.075,326.1]",326.075,326.1,0.025,ppt,1.1855364552459988e-4,0
1607,"(326.175,326.2]",326.175,326.2,0.025,ppt,1.5088645794039985e-4,0
1608,"(326.275,326.3]",326.275,326.3,0.025,ppt,1.2933124966319986e-4,0
1609,"(326.375,326.4]",326.375,326.4,0.025,ppt,1.077760413859999e-4,0
1610,"(326.475,326.5]",326.475,326.5,0.025,ppt,1.5088645794039985e-4,0
1611,"(326.575,326.6]",326.575,326.6,0.025,ppt,1.5088645794039985e-4,0
1612,"(326.675,326.7]",326.675,326.7,0.025,ppt,8.622083310879991e-5,0
1613,"(326.775,326.8]",326.775,326.8,0.025,ppt,8.622083310879991e-5,0
