n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja
296,"(2.95,2.975]",2.95,2.975,0.025,tmp,0.015638303605108584,0,0.004893032278924395
297,"(2.975,3]",2.975,3,0.025,tmp,0.013030123403567387,0,0.004925365091340195
298,"(3,3.025]",3,3.025,0.025,tmp,0.011866142156598588,0,0.0048391442582313956
299,"(3.025,3.05]",3.025,3.05,0.025,tmp,0.01142426038691599,0,0.005237915611359595
300,"(3.05,3.075]",3.05,3.075,0.025,tmp,0.011596702053133588,0,0.005270248423775395
301,"(3.075,3.1]",3.075,3.1,0.025,tmp,0.008902301018483591,0,0.005248693215498194
302,"(3.1,3.125]",3.1,3.125,0.025,tmp,0.008762192164681791,0,0.005140917174112195
303,"(3.125,3.15]",3.125,3.15,0.025,tmp,0.007339548418386592,0,0.005485800506547394
304,"(3.15,3.175]",3.15,3.175,0.025,tmp,0.006348008837635394,0,0.0056043541520719945
305,"(3.175,3.2]",3.175,3.2,0.025,tmp,0.0062294551921107935,0,0.005518133318963194
306,"(3.2,3.225]",3.2,3.225,0.025,tmp,0.005593576547933394,0,0.006003125505200194
307,"(3.225,3.25]",3.225,3.25,0.025,tmp,0.005539688527240395,0,0.005852239047259795
308,"(3.25,3.275]",3.25,3.275,0.025,tmp,0.006024680713477394,0,0.005550466131378994
309,"(3.275,3.3]",3.275,3.3,0.025,tmp,0.0048714770706471955,0,0.004936142695478795
310,"(3.3,3.325]",3.3,3.325,0.025,tmp,0.004580481758904995,0,0.004677480196152395
311,"(3.325,3.35]",3.325,3.35,0.025,tmp,0.0042032656140539955,0,0.0045912593630435955
312,"(3.35,3.375]",3.35,3.375,0.025,tmp,0.0038691598857573963,0,0.0035781645740151965
313,"(3.375,3.4]",3.375,3.4,0.025,tmp,0.0037506062402327964,0,0.004181710405776796
314,"(3.4,3.425]",3.4,3.425,0.025,tmp,0.0031470604084711967,0,0.0036967182195397964
315,"(3.425,3.45]",3.425,3.45,0.025,tmp,0.0035673869698765962,0,0.0036104973864309964
316,"(3.45,3.475]",3.45,3.475,0.025,tmp,0.0035566093657379964,0,0.0034380557202133965
317,"(3.475,3.5]",3.475,3.5,0.025,tmp,0.0034488333243519968,0,0.003211726033302797
318,"(3.5,3.525]",3.5,3.525,0.025,tmp,0.002845287492590397,0,0.0032009484291641967
319,"(3.525,3.55]",3.525,3.55,0.025,tmp,0.003039284367085197,0,0.0029422859298377972
320,"(3.55,3.575]",3.55,3.575,0.025,tmp,0.003060839575362397,0,0.0028237322843131974
321,"(3.575,3.6]",3.575,3.6,0.025,tmp,0.002996173950530797,0,0.0028237322843131974
