n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja,variable_metric,metric
131,"(11.5,11.525]",11.5,11.525,0.025,ppt,0,6.682114565931994e-4,ppt_jja,jja
132,"(11.575,11.6]",11.575,11.6,0.025,ppt,0,0.010432720806164789,ppt_jja,jja
133,"(11.675,11.7]",11.675,11.7,0.025,ppt,0,0.01020639111925419,ppt_jja,jja
134,"(11.775,11.8]",11.775,11.8,0.025,ppt,0,0.00987228539095759,ppt_jja,jja
135,"(11.875,11.9]",11.875,11.9,0.025,ppt,0,0.007867651021177991,ppt_jja,jja
136,"(11.9,11.925]",11.9,11.925,0.025,ppt,0,0.0010669828097213988,ppt_jja,jja
137,"(11.975,12]",11.975,12,0.025,ppt,0,0.007156329148030393,ppt_jja,jja
138,"(12,12.025]",12,12.025,0.025,ppt,0,9.053187476423991e-4,ppt_jja,jja
139,"(12.075,12.1]",12.075,12.1,0.025,ppt,0,0.008762192164681791,ppt_jja,jja
140,"(12.175,12.2]",12.175,12.2,0.025,ppt,0,0.008632860915018591,ppt_jja,jja
141,"(12.275,12.3]",12.275,12.3,0.025,ppt,0,0.008244867166028992,ppt_jja,jja
142,"(12.375,12.4]",12.375,12.4,0.025,ppt,0,0.005334914048606995,ppt_jja,jja
143,"(12.4,12.425]",12.4,12.425,0.025,ppt,0,7.544322897019992e-4,ppt_jja,jja
144,"(12.475,12.5]",12.475,12.5,0.025,ppt,0,0.004418817696825996,ppt_jja,jja
145,"(12.5,12.525]",12.5,12.525,0.025,ppt,0,0.0011532036428301988,ppt_jja,jja
146,"(12.575,12.6]",12.575,12.6,0.025,ppt,0,0.004936142695478795,ppt_jja,jja
147,"(12.675,12.7]",12.675,12.7,0.025,ppt,0,0.004063156760252196,ppt_jja,jja
148,"(12.775,12.8]",12.775,12.8,0.025,ppt,0,0.002899175513283397,ppt_jja,jja
149,"(12.875,12.9]",12.875,12.9,0.025,ppt,0,0.001961523953225198,ppt_jja,jja
150,"(12.9,12.925]",12.9,12.925,0.025,ppt,0,5.281026027913995e-4,ppt_jja,jja
151,"(12.975,13]",12.975,13,0.025,ppt,0,0.0017890822870075982,ppt_jja,jja
152,"(13,13.025]",13,13.025,0.025,ppt,0,4.311041655439996e-4,ppt_jja,jja
153,"(13.075,13.1]",13.075,13.1,0.025,ppt,0,0.0015950854125127984,ppt_jja,jja
154,"(13.175,13.2]",13.175,13.2,0.025,ppt,0,0.0011963140593845988,ppt_jja,jja
155,"(13.275,13.3]",13.275,13.3,0.025,ppt,0,9.69984372473999e-4,ppt_jja,jja
156,"(13.375,13.4]",13.375,13.4,0.025,ppt,0,6.466562483159994e-4,ppt_jja,jja
157,"(13.4,13.425]",13.4,13.425,0.025,ppt,0,9.69984372473999e-5,ppt_jja,jja
158,"(13.475,13.5]",13.475,13.5,0.025,ppt,0,4.095489572667996e-4,ppt_jja,jja
159,"(13.5,13.525]",13.5,13.525,0.025,ppt,0,1.939968744947998e-4,ppt_jja,jja
160,"(13.575,13.6]",13.575,13.6,0.025,ppt,0,7.436546855633993e-4,ppt_jja,jja
161,"(13.675,13.7]",13.675,13.7,0.025,ppt,0,6.251010400387994e-4,ppt_jja,jja
162,"(13.775,13.8]",13.775,13.8,0.025,ppt,0,6.143234359001994e-4,ppt_jja,jja
163,"(13.875,13.9]",13.875,13.9,0.025,ppt,0,3.017729158807997e-4,ppt_jja,jja
164,"(13.9,13.925]",13.9,13.925,0.025,ppt,0,1.5088645794039985e-4,ppt_jja,jja
165,"(13.975,14]",13.975,14,0.025,ppt,0,1.939968744947998e-4,ppt_jja,jja
166,"(14,14.025]",14,14.025,0.025,ppt,0,1.7244166621759982e-4,ppt_jja,jja
167,"(14.075,14.1]",14.075,14.1,0.025,ppt,0,3.987713531281996e-4,ppt_jja,jja
168,"(14.175,14.2]",14.175,14.2,0.025,ppt,0,3.017729158807997e-4,ppt_jja,jja
169,"(14.275,14.3]",14.275,14.3,0.025,ppt,0,3.341057282965997e-4,ppt_jja,jja
170,"(14.375,14.4]",14.375,14.4,0.025,ppt,0,3.125505200193997e-4,ppt_jja,jja
171,"(14.4,14.425]",14.4,14.425,0.025,ppt,0,1.4010885380179986e-4,ppt_jja,jja
172,"(14.475,14.5]",14.475,14.5,0.025,ppt,0,2.694401034649997e-4,ppt_jja,jja
173,"(14.5,14.525]",14.5,14.525,0.025,ppt,0,6.466562483159993e-5,ppt_jja,jja
174,"(14.575,14.6]",14.575,14.6,0.025,ppt,0,2.2632968691059977e-4,ppt_jja,jja
175,"(14.675,14.7]",14.675,14.7,0.025,ppt,0,1.7244166621759982e-4,ppt_jja,jja
176,"(14.775,14.8]",14.775,14.8,0.025,ppt,0,1.6166406207899985e-4,ppt_jja,jja
177,"(14.875,14.9]",14.875,14.9,0.025,ppt,0,9.69984372473999e-5,ppt_jja,jja
178,"(14.9,14.925]",14.9,14.925,0.025,ppt,0,2.1555208277199977e-5,ppt_jja,jja
179,"(14.975,15]",14.975,15,0.025,ppt,0,1.2933124966319986e-4,ppt_jja,jja
180,"(15.075,15.1]",15.075,15.1,0.025,ppt,0,4.3110416554399954e-5,ppt_jja,jja
181,"(15.175,15.2]",15.175,15.2,0.025,ppt,0,3.2332812415799966e-5,ppt_jja,jja
182,"(15.275,15.3]",15.275,15.3,0.025,ppt,0,2.1555208277199977e-5,ppt_jja,jja
1,"(205.675,205.7]",205.675,205.7,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
2,"(205.875,205.9]",205.875,205.9,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
3,"(205.975,206]",205.975,206,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
