n_bin,bin,bin_from,bin_to,bin_size,variable,rnr_avg,variable_metric,metric
11664,"(157.6,157.62]",157.6,157.62,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11665,"(157.62,157.65]",157.62,157.65,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11666,"(157.65,157.68]",157.65,157.68,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11667,"(157.68,157.7]",157.68,157.7,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11668,"(157.7,157.73]",157.7,157.73,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11669,"(157.73,157.75]",157.73,157.75,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11670,"(157.75,157.78]",157.75,157.78,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11671,"(157.8,157.83]",157.8,157.83,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11672,"(157.83,157.85]",157.83,157.85,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11673,"(157.85,157.88]",157.85,157.88,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11674,"(157.88,157.9]",157.88,157.9,0.025,rnr,8.622083310879991e-5,rnr_avg,avg
11675,"(157.93,157.95]",157.93,157.95,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11676,"(157.95,157.98]",157.95,157.98,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11677,"(157.98,158]",157.98,158,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11678,"(158,158.03]",158,158.03,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11679,"(158.03,158.05]",158.03,158.05,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11680,"(158.05,158.08]",158.05,158.08,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11681,"(158.08,158.1]",158.08,158.1,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11682,"(158.1,158.12]",158.1,158.12,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11683,"(158.12,158.15]",158.12,158.15,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11684,"(158.15,158.18]",158.15,158.18,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11685,"(158.18,158.2]",158.18,158.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11686,"(158.2,158.23]",158.2,158.23,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11687,"(158.23,158.25]",158.23,158.25,0.025,rnr,8.622083310879991e-5,rnr_avg,avg
11688,"(158.25,158.28]",158.25,158.28,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11689,"(158.3,158.33]",158.3,158.33,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11690,"(158.33,158.35]",158.33,158.35,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11691,"(158.35,158.38]",158.35,158.38,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11692,"(158.38,158.4]",158.38,158.4,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11693,"(158.4,158.43]",158.4,158.43,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11694,"(158.43,158.45]",158.43,158.45,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11695,"(158.45,158.48]",158.45,158.48,0.025,rnr,8.622083310879991e-5,rnr_avg,avg
11696,"(158.48,158.5]",158.48,158.5,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11697,"(158.5,158.53]",158.5,158.53,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11698,"(158.53,158.55]",158.53,158.55,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11699,"(158.55,158.58]",158.55,158.58,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11700,"(158.58,158.6]",158.58,158.6,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11701,"(158.6,158.62]",158.6,158.62,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11702,"(158.62,158.65]",158.62,158.65,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11703,"(158.65,158.68]",158.65,158.68,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11704,"(158.68,158.7]",158.68,158.7,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11705,"(158.7,158.73]",158.7,158.73,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11706,"(158.73,158.75]",158.73,158.75,0.025,rnr,7.544322897019993e-5,rnr_avg,avg
