n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja,variable_metric,metric
323,"(3.625,3.65]",3.625,3.65,0.025,tmp,0.002015411973918198,0,0.002931508325699197,tmp_jja,jja
171,"(3.65,3.675]",3.65,3.675,0.025,tmp,0.0015304197876811986,0,0.002834509888451797,tmp_avg,avg
324,"(3.65,3.675]",3.65,3.675,0.025,tmp,0.0015304197876811986,0,0.002834509888451797,tmp_jja,jja
172,"(3.675,3.7]",3.675,3.7,0.025,tmp,0.0013040901007705986,0,0.0027159562429271973,tmp_avg,avg
325,"(3.675,3.7]",3.675,3.7,0.025,tmp,0.0013040901007705986,0,0.0027159562429271973,tmp_jja,jja
173,"(3.7,3.725]",3.7,3.725,0.025,tmp,0.0012178692676617989,0,0.002920730721560597,tmp_avg,avg
326,"(3.7,3.725]",3.7,3.725,0.025,tmp,0.0012178692676617989,0,0.002920730721560597,tmp_jja,jja
174,"(3.725,3.75]",3.725,3.75,0.025,tmp,0.001002317184889799,0,0.002726733847065797,tmp_avg,avg
327,"(3.725,3.75]",3.725,3.75,0.025,tmp,0.001002317184889799,0,0.002726733847065797,tmp_jja,jja
175,"(3.75,3.775]",3.75,3.775,0.025,tmp,9.26873955919599e-4,0,0.0024896265560165973,tmp_avg,avg
328,"(3.75,3.775]",3.75,3.775,0.025,tmp,9.26873955919599e-4,0,0.0024896265560165973,tmp_jja,jja
176,"(3.775,3.8]",3.775,3.8,0.025,tmp,9.69984372473999e-4,0,0.0027159562429271973,tmp_avg,avg
329,"(3.775,3.8]",3.775,3.8,0.025,tmp,9.69984372473999e-4,0,0.0027159562429271973,tmp_jja,jja
177,"(3.8,3.825]",3.8,3.825,0.025,tmp,6.897666648703993e-4,0,0.0023495177022147978,tmp_avg,avg
330,"(3.8,3.825]",3.8,3.825,0.025,tmp,6.897666648703993e-4,0,0.0023495177022147978,tmp_jja,jja
178,"(3.825,3.85]",3.825,3.85,0.025,tmp,7.544322897019992e-4,0,0.0026081802015411972,tmp_avg,avg
331,"(3.825,3.85]",3.825,3.85,0.025,tmp,7.544322897019992e-4,0,0.0026081802015411972,tmp_jja,jja
179,"(3.85,3.875]",3.85,3.875,0.025,tmp,6.251010400387994e-4,0,0.0024788489518779975,tmp_avg,avg
332,"(3.85,3.875]",3.85,3.875,0.025,tmp,6.251010400387994e-4,0,0.0024788489518779975,tmp_jja,jja
180,"(3.875,3.9]",3.875,3.9,0.025,tmp,8.190979145335992e-4,0,0.0022525192649673976,tmp_avg,avg
333,"(3.875,3.9]",3.875,3.9,0.025,tmp,8.190979145335992e-4,0,0.0022525192649673976,tmp_jja,jja
181,"(3.9,3.925]",3.9,3.925,0.025,tmp,6.251010400387994e-4,0,0.0022417416608287977,tmp_avg,avg
334,"(3.9,3.925]",3.9,3.925,0.025,tmp,6.251010400387994e-4,0,0.0022417416608287977,tmp_jja,jja
182,"(3.925,3.95]",3.925,3.95,0.025,tmp,7.220994772861993e-4,0,0.002284852077383198,tmp_avg,avg
335,"(3.925,3.95]",3.925,3.95,0.025,tmp,7.220994772861993e-4,0,0.002284852077383198,tmp_jja,jja
183,"(3.95,3.975]",3.95,3.975,0.025,tmp,6.466562483159994e-4,0,0.0021339656194427977,tmp_avg,avg
336,"(3.95,3.975]",3.95,3.975,0.025,tmp,6.466562483159994e-4,0,0.0021339656194427977,tmp_jja,jja
184,"(3.975,4]",3.975,4,0.025,tmp,6.358786441773993e-4,0,0.002263296869105998,tmp_avg,avg
337,"(3.975,4]",3.975,4,0.025,tmp,6.358786441773993e-4,0,0.002263296869105998,tmp_jja,jja
185,"(4,4.025]",4,4.025,0.025,tmp,6.789890607317993e-4,0,0.001983079161502398,tmp_avg,avg
338,"(4,4.025]",4,4.025,0.025,tmp,6.789890607317993e-4,0,0.001983079161502398,tmp_jja,jja
186,"(4.025,4.05]",4.025,4.05,0.025,tmp,6.251010400387994e-4,0,0.0018753031201163982,tmp_avg,avg
339,"(4.025,4.05]",4.025,4.05,0.025,tmp,6.251010400387994e-4,0,0.0018753031201163982,tmp_jja,jja
187,"(4.05,4.075]",4.05,4.075,0.025,tmp,4.4188176968259954e-4,0,0.0018214150994233982,tmp_avg,avg
340,"(4.05,4.075]",4.05,4.075,0.025,tmp,4.4188176968259954e-4,0,0.0018214150994233982,tmp_jja,jja
188,"(4.075,4.1]",4.075,4.1,0.025,tmp,6.251010400387994e-4,0,0.002069299994611198,tmp_avg,avg
341,"(4.075,4.1]",4.075,4.1,0.025,tmp,6.251010400387994e-4,0,0.002069299994611198,tmp_jja,jja
189,"(4.1,4.125]",4.1,4.125,0.025,tmp,5.819906234843994e-4,0,0.002112410411165598,tmp_avg,avg
342,"(4.1,4.125]",4.1,4.125,0.025,tmp,5.819906234843994e-4,0,0.002112410411165598,tmp_jja,jja
190,"(4.125,4.15]",4.125,4.15,0.025,tmp,6.251010400387994e-4,0,0.0019184135366707982,tmp_avg,avg
343,"(4.125,4.15]",4.125,4.15,0.025,tmp,6.251010400387994e-4,0,0.0019184135366707982,tmp_jja,jja
191,"(4.15,4.175]",4.15,4.175,0.025,tmp,5.927682276229994e-4,0,0.0017567494745917983,tmp_avg,avg
344,"(4.15,4.175]",4.15,4.175,0.025,tmp,5.927682276229994e-4,0,0.0017567494745917983,tmp_jja,jja
192,"(4.175,4.2]",4.175,4.2,0.025,tmp,5.388802069299994e-4,0,0.002015411973918198,tmp_avg,avg
345,"(4.175,4.2]",4.175,4.2,0.025,tmp,5.388802069299994e-4,0,0.002015411973918198,tmp_jja,jja
193,"(4.2,4.225]",4.2,4.225,0.025,tmp,5.065473945141995e-4,0,0.0019076359325321981,tmp_avg,avg
346,"(4.2,4.225]",4.2,4.225,0.025,tmp,5.065473945141995e-4,0,0.0019076359325321981,tmp_jja,jja
194,"(4.225,4.25]",4.225,4.25,0.025,tmp,6.035458317615994e-4,0,0.0018753031201163982,tmp_avg,avg
347,"(4.225,4.25]",4.225,4.25,0.025,tmp,6.035458317615994e-4,0,0.0018753031201163982,tmp_jja,jja
195,"(4.25,4.275]",4.25,4.275,0.025,tmp,4.849921862369995e-4,0,0.001896858328393598,tmp_avg,avg
348,"(4.25,4.275]",4.25,4.275,0.025,tmp,4.849921862369995e-4,0,0.001896858328393598,tmp_jja,jja
196,"(4.275,4.3]",4.275,4.3,0.025,tmp,5.496578110685995e-4,0,0.001896858328393598,tmp_avg,avg
349,"(4.275,4.3]",4.275,4.3,0.025,tmp,5.496578110685995e-4,0,0.001896858328393598,tmp_jja,jja
197,"(4.3,4.325]",4.3,4.325,0.025,tmp,5.604354152071994e-4,0,0.0016274182249285984,tmp_avg,avg
350,"(4.3,4.325]",4.3,4.325,0.025,tmp,5.604354152071994e-4,0,0.0016274182249285984,tmp_jja,jja
198,"(4.325,4.35]",4.325,4.35,0.025,tmp,4.742145820983995e-4,0,0.0016920838497601982,tmp_avg,avg
351,"(4.325,4.35]",4.325,4.35,0.025,tmp,4.742145820983995e-4,0,0.0016920838497601982,tmp_jja,jja
